Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2016","2016","1000 t","1188","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2016","2016","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2016","2016","1000 t","6","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2016","2016","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2016","2016","1000 t","21959","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2016","2016","kg/cap","99.75","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2016","2016","kcal/cap/d","871.26","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2016","2016","million Kcal","70006394.13","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2016","2016","g/cap/d","28.45","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2016","2016","t","2286110.28","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2016","2016","g/cap/d","4.59","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2016","2016","t","369036.2","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2017","2017","1000 t","26685","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2017","2017","1000 t","30","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2017","2017","1000 t","1412","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2017","2017","1000 t","426","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2017","2017","1000 t","24876","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2017","2017","1000 t","13","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2017","2017","1000 t","1467","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2017","2017","1000 t","667","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2017","2017","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2017","2017","1000 t","6","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2017","2017","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2017","2017","1000 t","22718","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2017","2017","kg/cap","101.75","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2017","2017","kcal/cap/d","888.31","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2017","2017","million Kcal","72393220.63","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2017","2017","g/cap/d","29","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2017","2017","t","2363414.25","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2017","2017","g/cap/d","4.68","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2017","2017","t","381008.48","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2018","2018","1000 t","25090","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2018","2018","1000 t","33","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2018","2018","1000 t","-2160","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2018","2018","1000 t","2230","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2018","2018","1000 t","25054","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2018","2018","1000 t","11","I","Value imputed by a receiving agency",""
